FID,NTACode,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Avg_annavg_PM25,Avg_annavg_NO2,tertile_buildingemissions,tertile_buildingdensity,tertile_trafficdensity,tertile_industrial
1,BK09,3,Brooklyn,47,BK09,Brooklyn Heights-Cobble Hill,8.159925978,22.43931682,3,3,3,2
2,BK17,3,Brooklyn,47,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,6.701257899,15.74486353,2,2,1,1
3,BK19,3,Brooklyn,47,BK19,Brighton Beach,6.922784411,16.46097272,2,2,2,1
4,BK21,3,Brooklyn,47,BK21,Seagate-Coney Island,6.661466833,14.25057065,1,1,1,2
5,BK23,3,Brooklyn,47,BK23,West Brighton,6.949573811,15.49428007,2,2,2,2
6,BK25,3,Brooklyn,47,BK25,Homecrest,7.124497486,17.73207528,2,2,2,1
7,BK26,3,Brooklyn,47,BK26,Gravesend,6.814494411,15.51744095,2,2,1,2
8,BK27,3,Brooklyn,47,BK27,Bath Beach,6.96873595,17.76576062,2,2,2,1
9,BK28,3,Brooklyn,47,BK28,Bensonhurst West,7.059982819,18.67982466,2,2,1,2
10,BK29,3,Brooklyn,47,BK29,Bensonhurst East,6.948016391,17.99482572,2,2,1,1
11,BK30,3,Brooklyn,47,BK30,Dyker Heights,7.342519996,18.89246935,2,2,2,2
12,BK31,3,Brooklyn,47,BK31,Bay Ridge,7.258177617,18.71939346,2,2,3,1
13,BK32,3,Brooklyn,47,BK32,Sunset Park West,8.827574008,20.61795007,2,2,3,3
14,BK33,3,Brooklyn,47,BK33,Carroll Gardens-Columbia Street-Red Hook,8.52752336,20.53932178,2,2,3,3
15,BK34,3,Brooklyn,47,BK34,Sunset Park East,7.518813449,19.79256142,2,3,1,3
16,BK35,3,Brooklyn,47,BK35,Stuyvesant Heights,7.364630863,20.32539985,3,3,1,2
17,BK37,3,Brooklyn,47,BK37,Park Slope-Gowanus,8.334862434,21.18743766,2,3,3,3
18,BK38,3,Brooklyn,47,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8.800624352,23.0504585,3,3,3,3
19,BK40,3,Brooklyn,47,BK40,Windsor Terrace,7.649527104,20.03891177,2,2,3,2
20,BK41,3,Brooklyn,47,BK41,Kensington-Ocean Parkway,7.5026195,19.51615152,3,3,2,2
21,BK42,3,Brooklyn,47,BK42,Flatbush,7.332201838,18.60147762,3,3,2,1
22,BK43,3,Brooklyn,47,BK43,Midwood,7.067428936,17.79676536,2,2,2,1
23,BK44,3,Brooklyn,47,BK44,Madison,6.957332946,17.44059602,2,2,2,1
24,BK45,3,Brooklyn,47,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,6.717037463,15.42454763,1,1,1,2
25,BK46,3,Brooklyn,47,BK46,Ocean Parkway South,7.09052891,17.63703883,2,2,2,2
26,BK50,3,Brooklyn,47,BK50,Canarsie,7.123454201,16.66763016,1,2,1,3
27,BK58,3,Brooklyn,47,BK58,Flatlands,7.305549762,17.9836411,2,2,2,3
28,BK60,3,Brooklyn,47,BK60,Prospect Lefferts Gardens-Wingate,7.447606358,20.02275118,3,3,2,2
29,BK61,3,Brooklyn,47,BK61,Crown Heights North,7.468992879,20.31025941,3,3,2,2
30,BK63,3,Brooklyn,47,BK63,Crown Heights South,7.381149845,20.48849215,3,3,2,2
31,BK64,3,Brooklyn,47,BK64,Prospect Heights,7.813974793,21.31149322,3,3,2,3
32,BK68,3,Brooklyn,47,BK68,Fort Greene,8.098453347,21.20986919,3,3,3,3
33,BK69,3,Brooklyn,47,BK69,Clinton Hill,7.994177429,21.05476858,3,3,2,3
34,BK72,3,Brooklyn,47,BK72,Williamsburg,8.411429827,22.10291475,3,3,3,3
35,BK73,3,Brooklyn,47,BK73,North Side-South Side,8.639974126,21.85341049,2,3,3,3
36,BK75,3,Brooklyn,47,BK75,Bedford,7.895009893,20.98793416,3,3,2,3
37,BK76,3,Brooklyn,47,BK76,Greenpoint,8.989979045,21.13143829,2,2,1,3
38,BK77,3,Brooklyn,47,BK77,Bushwick North,8.212940935,20.456783,2,2,1,3
39,BK78,3,Brooklyn,47,BK78,Bushwick South,8.100162083,20.41654224,2,3,1,3
40,BK79,3,Brooklyn,47,BK79,Ocean Hill,7.433675375,19.83438174,2,2,2,3
41,BK81,3,Brooklyn,47,BK81,Brownsville,7.630535265,19.073726,2,3,2,3
42,BK82,3,Brooklyn,47,BK82,East New York,7.562841697,16.97504577,1,1,3,3
43,BK83,3,Brooklyn,47,BK83,Cypress Hills-City Line,7.047710962,18.69253231,1,1,1,2
44,BK85,3,Brooklyn,47,BK85,East New York (Pennsylvania Ave),7.804142796,19.14543409,2,2,2,3
45,BK88,3,Brooklyn,47,BK88,Borough Park,7.273638625,19.33318459,2,3,1,2
46,BK90,3,Brooklyn,47,BK90,East Williamsburg,9.509454776,20.87081834,2,2,2,3
47,BK91,3,Brooklyn,47,BK91,East Flatbush-Farragut,7.335749667,18.38333719,2,2,2,3
48,BK93,3,Brooklyn,47,BK93,Starrett City,6.965474138,15.82733505,2,2,1,2
49,BK95,3,Brooklyn,47,BK95,Erasmus,7.398307306,19.96732596,3,3,2,1
50,BK96,3,Brooklyn,47,BK96,Rugby-Remsen Village,7.779449469,19.6884511,2,2,3,3
51,BK99,3,Brooklyn,47,BK99,Open Space - Brooklyn,6.693005049,12.2694076,1,1,1,2
52,BX01,2,Bronx,5,BX01,Claremont-Bathgate,8.195789937,21.60143653,3,3,3,3
53,BX03,2,Bronx,5,BX03,Eastchester-Edenwald-Baychester,7.468834832,18.43537872,2,1,2,2
54,BX05,2,Bronx,5,BX05,Bedford Park-Fordham North,7.843937589,21.66111421,3,3,2,1
55,BX06,2,Bronx,5,BX06,Belmont,7.564393832,20.13360704,3,2,2,2
56,BX07,2,Bronx,5,BX07,Bronxdale,7.283234445,19.5516704,2,2,1,1
57,BX08,2,Bronx,5,BX08,West Farms-Bronx River,7.982665218,21.15791235,2,2,3,2
58,BX09,2,Bronx,5,BX09,Soundview-Castle Hill-Clason Point-Harding Park,7.309340652,18.61635723,2,1,2,2
59,BX10,2,Bronx,5,BX10,Pelham Bay-Country Club-City Island,7.244055946,17.74609107,1,1,2,2
60,BX13,2,Bronx,5,BX13,Co-op City,8.09895427,19.28953564,2,2,3,2
61,BX14,2,Bronx,5,BX14,East Concourse-Concourse Village,8.086189171,22.37395496,3,3,2,3
62,BX17,2,Bronx,5,BX17,East Tremont,8.046749507,21.16078033,3,2,3,3
63,BX22,2,Bronx,5,BX22,North Riverdale-Fieldston-Riverdale,7.117935821,15.85101692,2,1,1,1
64,BX26,2,Bronx,5,BX26,Highbridge,8.270216828,21.65598573,3,3,3,2
65,BX27,2,Bronx,5,BX27,Hunts Point,8.538703999,20.09868285,2,2,2,3
66,BX28,2,Bronx,5,BX28,Van Cortlandt Village,7.762746951,19.67515811,3,3,3,2
67,BX29,2,Bronx,5,BX29,Spuyten Duyvil-Kingsbridge,7.666226034,19.10068501,3,2,3,1
68,BX30,2,Bronx,5,BX30,Kingsbridge Heights,7.996982079,21.07831631,3,3,3,2
69,BX31,2,Bronx,5,BX31,Allerton-Pelham Gardens,7.203823801,18.82948991,2,2,1,2
70,BX33,2,Bronx,5,BX33,Longwood,8.32051661,21.69515995,3,3,2,3
71,BX34,2,Bronx,5,BX34,Melrose South-Mott Haven North,7.959793167,21.30519466,3,3,2,3
72,BX35,2,Bronx,5,BX35,Morrisania-Melrose,7.760051427,21.27795831,3,3,2,3
73,BX36,2,Bronx,5,BX36,University Heights-Morris Heights,8.418196493,21.82088901,3,3,3,2
74,BX37,2,Bronx,5,BX37,Van Nest-Morris Park-Westchester Square,7.557151025,19.27027484,2,2,1,3
75,BX39,2,Bronx,5,BX39,Mott Haven-Port Morris,8.759178979,21.15896103,2,2,3,3
76,BX40,2,Bronx,5,BX40,Fordham South,7.897069828,22.46536952,3,3,2,2
77,BX41,2,Bronx,5,BX41,Mount Hope,8.652663537,23.03874664,3,3,3,3
78,BX43,2,Bronx,5,BX43,Norwood,7.553903347,19.93625921,3,3,2,1
79,BX44,2,Bronx,5,BX44,Williamsbridge-Olinville,7.225937173,19.45844496,2,2,1,1
80,BX46,2,Bronx,5,BX46,Parkchester,7.621075027,19.60882114,2,2,3,2
81,BX49,2,Bronx,5,BX49,Pelham Parkway,7.434850603,19.00840403,2,2,1,3
82,BX52,2,Bronx,5,BX52,Schuylerville-Throgs Neck-Edgewater Park,7.413787012,18.02761418,1,1,3,2
83,BX55,2,Bronx,5,BX55,Soundview-Bruckner,7.745654778,20.4968728,3,2,3,2
84,BX59,2,Bronx,5,BX59,Westchester-Unionport,8.18670502,20.81204676,2,2,3,3
85,BX62,2,Bronx,5,BX62,Woodlawn-Wakefield,7.194145461,18.68356766,1,1,1,2
86,BX63,2,Bronx,5,BX63,West Concourse,8.407562392,22.17064602,3,3,3,3
87,BX75,2,Bronx,5,BX75,Crotona Park East,8.013254933,21.30374415,2,2,3,3
88,BX98,2,Bronx,5,BX98,Rikers Island,6.754950647,18.08876011,1,1,1,1
89,BX99,2,Bronx,5,BX99,Open Space - Bronx,7.171511649,14.48802251,1,1,2,1
90,MN01,1,Manhattan,61,MN01,Marble Hill-Inwood,7.445619807,20.10796113,3,2,1,1
91,MN03,1,Manhattan,61,MN03,Central Harlem North-Polo Grounds,7.724790254,22.3473142,3,3,2,1
92,MN04,1,Manhattan,61,MN04,Hamilton Heights,7.840745684,22.05441353,3,3,3,1
93,MN06,1,Manhattan,61,MN06,Manhattanville,7.901074622,22.67016535,3,3,2,2
94,MN09,1,Manhattan,61,MN09,Morningside Heights,8.17197324,22.50089872,3,3,3,1
95,MN11,1,Manhattan,61,MN11,Central Harlem South,8.000901668,24.34716454,3,3,3,1
96,MN12,1,Manhattan,61,MN12,Upper West Side,8.281974625,23.37947468,3,3,3,1
97,MN13,1,Manhattan,61,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,9.649355876,27.29772939,3,3,3,3
98,MN14,1,Manhattan,61,MN14,Lincoln Square,8.506386973,24.59677002,3,3,3,2
99,MN15,1,Manhattan,61,MN15,Clinton,9.21196198,27.35432269,3,3,3,3
100,MN17,1,Manhattan,61,MN17,Midtown-Midtown South,11.18615681,32.75438694,3,3,3,3
101,MN19,1,Manhattan,61,MN19,Turtle Bay-East Midtown,10.36757312,30.28719819,3,3,3,1
102,MN20,1,Manhattan,61,MN20,Murray Hill-Kips Bay,10.12752664,29.81194177,3,3,3,2
103,MN21,1,Manhattan,61,MN21,Gramercy,9.798348085,29.194677,3,3,3,3
104,MN22,1,Manhattan,61,MN22,East Village,8.851912228,25.99896661,3,3,3,2
105,MN23,1,Manhattan,61,MN23,West Village,8.90116486,25.40664306,3,3,3,3
106,MN24,1,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,9.214742632,26.56417675,3,3,3,3
107,MN25,1,Manhattan,61,MN25,Battery Park City-Lower Manhattan,8.835580029,25.35897523,3,3,3,2
108,MN27,1,Manhattan,61,MN27,Chinatown,9.118268414,25.68186325,3,3,3,3
109,MN28,1,Manhattan,61,MN28,Lower East Side,7.778596264,21.61784804,3,3,3,2
110,MN31,1,Manhattan,61,MN31,Lenox Hill-Roosevelt Island,8.781711388,25.01359349,3,3,3,1
111,MN32,1,Manhattan,61,MN32,Yorkville,8.773954382,24.91950194,3,3,3,1
112,MN33,1,Manhattan,61,MN33,East Harlem South,8.200297574,22.91581433,3,3,3,1
113,MN34,1,Manhattan,61,MN34,East Harlem North,8.039899602,22.3386084,3,3,3,2
114,MN35,1,Manhattan,61,MN35,Washington Heights North,7.637295843,20.13748141,3,3,2,1
115,MN36,1,Manhattan,61,MN36,Washington Heights South,8.1972004,22.95165305,3,3,3,1
116,MN40,1,Manhattan,61,MN40,Upper East Side-Carnegie Hill,9.024608053,26.66219955,3,3,3,1
117,MN50,1,Manhattan,61,MN50,Stuyvesant Town-Cooper Village,8.188608725,22.94270968,3,3,3,1
118,MN99,1,Manhattan,61,MN99,Open Space - Manhattan,7.598731285,18.17258258,3,3,2,1
119,QN01,4,Queens,81,QN01,South Jamaica,7.161362273,17.97543764,1,1,2,3
120,QN02,4,Queens,81,QN02,Springfield Gardens North,7.074099734,16.94445939,1,1,2,3
121,QN03,4,Queens,81,QN03,Springfield Gardens South-Brookville,7.273713227,16.70789646,1,1,3,3
122,QN05,4,Queens,81,QN05,Rosedale,6.649018033,14.29568237,1,1,1,2
123,QN06,4,Queens,81,QN06,Jamaica Estates-Holliswood,6.942751824,16.37034933,1,1,2,1
124,QN07,4,Queens,81,QN07,Hollis,6.857411503,17.75732272,1,1,1,2
125,QN08,4,Queens,81,QN08,St. Albans,6.882362016,17.06504217,1,1,1,3
126,QN10,4,Queens,81,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,6.263207264,11.68386712,1,1,1,1
127,QN12,4,Queens,81,QN12,Hammels-Arverne-Edgemere,6.339497985,12.35433011,1,1,1,2
128,QN15,4,Queens,81,QN15,Far Rockaway-Bayswater,6.36441099,13.67922625,1,1,1,1
129,QN17,4,Queens,81,QN17,Forest Hills,7.200704727,19.07082473,3,2,2,1
130,QN18,4,Queens,81,QN18,Rego Park,7.667033365,20.87691238,3,3,3,1
131,QN19,4,Queens,81,QN19,Glendale,7.604221802,19.76446481,1,1,3,3
132,QN20,4,Queens,81,QN20,Ridgewood,7.716079558,19.67153079,2,2,1,3
133,QN21,4,Queens,81,QN21,Middle Village,7.169430111,18.55021193,1,2,2,2
134,QN22,4,Queens,81,QN22,Flushing,7.99257357,20.68695913,3,2,3,3
135,QN23,4,Queens,81,QN23,College Point,7.948542994,18.64011312,1,1,1,3
136,QN25,4,Queens,81,QN25,Corona,7.432732288,21.02250997,2,2,2,2
137,QN26,4,Queens,81,QN26,North Corona,7.13293326,20.42612774,2,2,1,2
138,QN27,4,Queens,81,QN27,East Elmhurst,6.994483146,19.80676131,1,1,2,1
139,QN28,4,Queens,81,QN28,Jackson Heights,7.266579827,20.89791091,2,2,1,2
140,QN29,4,Queens,81,QN29,Elmhurst,7.650741007,21.6390259,3,3,3,2
141,QN30,4,Queens,81,QN30,Maspeth,8.766608086,20.87713129,1,2,3,3
142,QN31,4,Queens,81,QN31,Hunters Point-Sunnyside-West Maspeth,9.424565971,21.00155399,2,2,2,3
143,QN33,4,Queens,81,QN33,Cambria Heights,6.58098867,17.01506447,1,1,1,1
144,QN34,4,Queens,81,QN34,Queens Village,6.813445972,17.7226771,1,1,1,2
145,QN35,4,Queens,81,QN35,Briarwood-Jamaica Hills,7.200514866,18.91209884,2,2,2,2
146,QN37,4,Queens,81,QN37,Kew Gardens Hills,7.007892483,18.61449906,2,2,2,1
147,QN38,4,Queens,81,QN38,Pomonok-Flushing Heights-Hillcrest,6.992574675,18.67434476,2,2,2,1
148,QN41,4,Queens,81,QN41,Fresh Meadows-Utopia,6.983575695,17.64054086,1,1,2,1
149,QN42,4,Queens,81,QN42,Oakland Gardens,7.023640283,17.15537092,1,1,2,1
150,QN43,4,Queens,81,QN43,Bellerose,6.755523007,16.85461844,1,1,1,1
151,QN44,4,Queens,81,QN44,Glen Oaks-Floral Park-New Hyde Park,6.659865031,16.83189358,1,1,1,1
152,QN45,4,Queens,81,QN45,Douglas Manor-Douglaston-Little Neck,6.936983367,15.99784088,1,1,2,1
153,QN46,4,Queens,81,QN46,Bayside-Bayside Hills,7.101907822,18.14240024,1,1,3,1
154,QN47,4,Queens,81,QN47,Ft. Totten-Bay Terrace-Clearview,6.938167762,17.56244385,1,1,2,1
155,QN48,4,Queens,81,QN48,Auburndale,6.953652884,18.52498435,1,1,2,1
156,QN49,4,Queens,81,QN49,Whitestone,7.144048924,18.21001059,1,1,1,2
157,QN50,4,Queens,81,QN50,Elmhurst-Maspeth,7.65385666,20.85893501,2,2,3,3
158,QN51,4,Queens,81,QN51,Murray Hill,6.942366595,18.46851414,2,2,1,2
159,QN52,4,Queens,81,QN52,East Flushing,6.878789762,18.31655721,2,2,1,1
160,QN53,4,Queens,81,QN53,Woodhaven,7.12521929,19.08512325,2,2,2,2
161,QN54,4,Queens,81,QN54,Richmond Hill,7.138348753,18.98950994,2,2,2,3
162,QN55,4,Queens,81,QN55,South Ozone Park,6.812208848,18.15508204,1,1,2,1
163,QN56,4,Queens,81,QN56,Ozone Park,7.05056583,18.46749842,1,1,2,2
164,QN57,4,Queens,81,QN57,Lindenwood-Howard Beach,6.652381666,16.05387626,1,1,1,1
165,QN60,4,Queens,81,QN60,Kew Gardens,7.319773123,18.02441069,2,2,3,2
166,QN61,4,Queens,81,QN61,Jamaica,7.640546853,20.04232227,2,2,3,3
167,QN62,4,Queens,81,QN62,Queensboro Hill,7.380092507,19.09338655,1,1,3,1
168,QN63,4,Queens,81,QN63,Woodside,7.895402227,21.0847249,2,2,2,3
169,QN66,4,Queens,81,QN66,Laurelton,6.723259912,16.32519274,1,1,1,2
170,QN68,4,Queens,81,QN68,Queensbridge-Ravenswood-Long Island City,8.734068537,20.98980819,2,2,2,3
171,QN70,4,Queens,81,QN70,Astoria,7.795796102,21.56232092,2,3,1,3
172,QN71,4,Queens,81,QN71,Old Astoria,7.667810561,20.69572813,2,2,1,3
173,QN72,4,Queens,81,QN72,Steinway,7.459137497,20.05440774,1,1,1,3
174,QN76,4,Queens,81,QN76,Baisley Park,6.872274464,17.13733595,1,1,2,2
175,QN98,4,Queens,81,QN98,Airport,6.496782137,16.05314925,1,1,1,2
176,QN99,4,Queens,81,QN99,Open Space - Queens,6.925433465,13.71877209,1,1,2,2
177,SI01,5,Staten Island,85,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,6.363688338,10.67336619,1,1,1,1
178,SI05,5,Staten Island,85,SI05,New Springville-Bloomfield-Travis,7.145213458,13.35224123,1,1,1,3
179,SI07,5,Staten Island,85,SI07,Westerleigh,6.815318433,15.47802279,1,1,2,1
180,SI08,5,Staten Island,85,SI08,Grymes Hill-Clifton-Fox Hills,6.90233321,14.83743423,1,1,1,2
181,SI11,5,Staten Island,85,SI11,Charleston-Richmond Valley-Tottenville,7.054566193,11.05186735,1,1,1,3
182,SI12,5,Staten Island,85,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,7.410727226,16.64570415,1,1,1,3
183,SI14,5,Staten Island,85,SI14,Grasmere-Arrochar-Ft. Wadsworth,7.11237796,15.77439145,1,1,3,1
184,SI22,5,Staten Island,85,SI22,West New Brighton-New Brighton-St. George,6.965671563,17.15892867,1,1,1,2
185,SI24,5,Staten Island,85,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,6.559930144,12.24840128,1,1,1,1
186,SI25,5,Staten Island,85,SI25,Oakwood-Oakwood Beach,6.430815517,11.89280042,1,1,1,1
187,SI28,5,Staten Island,85,SI28,Port Richmond,6.976340876,17.94670686,1,1,1,2
188,SI32,5,Staten Island,85,SI32,Rossville-Woodrow,6.545760028,12.2152054,1,1,1,2
189,SI35,5,Staten Island,85,SI35,New Brighton-Silver Lake,6.779361058,15.89078363,1,1,1,1
190,SI36,5,Staten Island,85,SI36,Old Town-Dongan Hills-South Beach,6.555343585,12.80034797,1,1,1,1
191,SI37,5,Staten Island,85,SI37,Stapleton-Rosebank,6.988575893,17.14467964,1,1,1,2
192,SI45,5,Staten Island,85,SI45,New Dorp-Midland Beach,6.489067219,12.38745449,1,1,1,1
193,SI48,5,Staten Island,85,SI48,Arden Heights,6.442744647,12.97470069,1,1,1,1
194,SI54,5,Staten Island,85,SI54,Great Kills,6.434879654,12.61503839,1,1,1,1
195,SI99,5,Staten Island,85,SI99,Open Space - Staten Island,6.310264883,9.211807325,1,1,1,1
