GEOCODE,GEONAME,VALUE
101,Kingsbridge - Riverdale,0.1
102,Northeast Bronx,0.1
103,Fordham - Bronx Pk,0.1
104,Pelham - Throgs Neck,0.1
105,Crotona -Tremont,0.25
106,High Bridge - Morrisania,0.25
107,Hunts Point - Mott Haven,0.25
201,Greenpoint,0.1
202,Downtown - Heights - Slope,0.1
203,Bedford Stuyvesant - Crown Heights,0.1
204,East New York,0.1
205,Sunset Park,0.1
206,Borough Park,0.1
207,East Flatbush - Flatbush,0.1
208,Canarsie - Flatlands,0.1
209,Bensonhurst - Bay Ridge,0.1
210,Coney Island - Sheepshead Bay,0.1
211,Williamsburg - Bushwick,0.1
301,Washington Heights,0.1
302,Central Harlem - Morningside Heights,0.1
303,East Harlem,0.1
304,Upper West Side,0.1
305,Upper East Side,0.1
306,Chelsea - Clinton,0.1
307,Gramercy Park - Murray Hill,0.1
308,Greenwich Village - SoHo,0.1
309,Union Square - Lower East Side,0.1
310,Lower Manhattan,0.1
401,Long Island City - Astoria,0.1
402,West Queens,0.1
403,Flushing - Clearview,0.1
404,Bayside - Little Neck,0.1
405,Ridgewood - Forest Hills,0.1
406,Fresh Meadows,0.1
407,Southwest Queens,0.1
408,Jamaica,0.1
409,Southeast Queens,0.1
410,Rockaways,0.1
501,Port Richmond,0.1
502,Stapleton - St. George,0.1
503,Willowbrook,0.1
504,South Beach - Tottenville,0.1