MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,value
10001,Chelsea - Clinton,Manhattan,.1
10002,Union Square - Lower East Side,Manhattan,.1
10003,Union Square - Lower East Side,Manhattan,.1
10004,Lower Manhattan,Manhattan,.1
10005,Lower Manhattan,Manhattan,.1
10006,Lower Manhattan,Manhattan,.1
10007,Lower Manhattan,Manhattan,.1
10009,Union Square - Lower East Side,Manhattan,.1
10010,Gramercy Park - Murray Hill,Manhattan,.1
10011,Chelsea - Clinton,Manhattan,.1
10012,Greenwich Village - Soho,Manhattan,.1
10013,Greenwich Village - Soho,Manhattan,.1
10014,Greenwich Village - Soho,Manhattan,.1
10016,Gramercy Park - Murray Hill,Manhattan,.1
10017,Gramercy Park - Murray Hill,Manhattan,.1
10018,Chelsea - Clinton,Manhattan,.1
10019,Chelsea - Clinton,Manhattan,.1
10021,Upper East Side,Manhattan,.1
10022,Gramercy Park - Murray Hill,Manhattan,.1
10023,Upper West Side,Manhattan,.1
10024,Upper West Side,Manhattan,.1
10025,Upper West Side,Manhattan,.1
10026,Central Harlem - Morningside Height,Manhattan,.1
10027,Central Harlem - Morningside Height,Manhattan,.1
10028,Upper East Side,Manhattan,.1
10029,East Harlem,Manhattan,.1
10030,Central Harlem - Morningside Height,Manhattan,.1
10031,Washington Heights - Inwood,Manhattan,.1
10032,Washington Heights - Inwood,Manhattan,.1
10033,Washington Heights - Inwood,Manhattan,.1
10034,Washington Heights - Inwood,Manhattan,.1
10035,East Harlem,Manhattan,.1
10036,Chelsea - Clinton,Manhattan,.1
10037,Central Harlem - Morningside Height,Manhattan,.1
10038,Lower Manhattan,Manhattan,.1
10039,Central Harlem - Morningside Height,Manhattan,.1
10040,Washington Heights - Inwood,Manhattan,.1
10044,Upper East Side,Manhattan,.1
10065,Upper East Side,Manhattan,.1
10069,Upper West Side,Manhattan,.1
10075,Upper East Side,Manhattan,.1
10128,Upper East Side,Manhattan,.1
10280,Lower Manhattan,Manhattan,.1
10282,Lower Manhattan,Manhattan,.1
10301,Stapleton - St. George,Staten Island,.1
10302,Port Richmond,Staten Island,.1
10303,Port Richmond,Staten Island,.1
10304,Stapleton - St. George,Staten Island,.1
10305,Stapleton - St. George,Staten Island,.1
10306,South Beach - Tottenville,Staten Island,.1
10307,South Beach - Tottenville,Staten Island,.1
10308,South Beach - Tottenville,Staten Island,.1
10309,South Beach - Tottenville,Staten Island,.1
10310,Port Richmond,Staten Island,.1
10312,South Beach - Tottenville,Staten Island,.1
10314,Willowbrook,Staten Island,.1
10451,High Bridge - Morrisania,Bronx,.25
10452,High Bridge - Morrisania,Bronx,.25
10453,Crotona - Tremont,Bronx,.25
10454,Hunts Point - Mott Haven,Bronx,.25
10455,Hunts Point - Mott Haven,Bronx,.25
10456,High Bridge - Morrisania,Bronx,.25
10457,Crotona - Tremont,Bronx,.25
10458,Fordham - Bronx Park,Bronx,.1
10459,Hunts Point - Mott Haven,Bronx,.25
10460,Crotona - Tremont,Bronx,.25
10461,Pelham - Throgs Neck,Bronx,.1
10462,Pelham - Throgs Neck,Bronx,.1
10463,Kingsbridge - Riverdale,Bronx,.1
10464,Pelham - Throgs Neck,Bronx,.1
10465,Pelham - Throgs Neck,Bronx,.1
10466,Northeast Bronx,Bronx,.1
10467,Fordham - Bronx Park,Bronx,.1
10468,Fordham - Bronx Park,Bronx,.1
10469,Northeast Bronx,Bronx,.1
10470,Northeast Bronx,Bronx,.1
10471,Kingsbridge - Riverdale,Bronx,.1
10472,Pelham - Throgs Neck,Bronx,.1
10473,Pelham - Throgs Neck,Bronx,.1
10474,Hunts Point - Mott Haven,Bronx,.25
10475,Northeast Bronx,Bronx,.1
11004,Southeast Queens,Queens,.1
11101,Long Island City - Astoria,Queens,.1
11102,Long Island City - Astoria,Queens,.1
11103,Long Island City - Astoria,Queens,.1
11104,Long Island City - Astoria,Queens,.1
11105,Long Island City - Astoria,Queens,.1
11106,Long Island City - Astoria,Queens,.1
11109,Long Island City - Astoria,Queens,.1
11201,Downtown - Heights - Slope,Brooklyn,.1
11203,East Flatbush - Flatbush,Brooklyn,.1
11204,Borough Park,Brooklyn,.1
11205,Downtown - Heights - Slope,Brooklyn,.1
11206,Williamsburg - Bushwick,Brooklyn,.1
11207,East New York,Brooklyn,.1
11208,East New York,Brooklyn,.1
11209,Bensonhurst - Bay Ridge,Brooklyn,.1
11210,East Flatbush - Flatbush,Brooklyn,.1
11211,Greenpoint,Brooklyn,.1
11212,Bedford Stuyvesant - Crown Heights,Brooklyn,.1
11213,Bedford Stuyvesant - Crown Heights,Brooklyn,.1
11214,Bensonhurst - Bay Ridge,Brooklyn,.1
11215,Downtown - Heights - Slope,Brooklyn,.1
11216,Bedford Stuyvesant - Crown Heights,Brooklyn,.1
11217,Downtown - Heights - Slope,Brooklyn,.1
11218,Borough Park,Brooklyn,.1
11219,Borough Park,Brooklyn,.1
11220,Sunset Park,Brooklyn,.1
11221,Williamsburg - Bushwick,Brooklyn,.1
11222,Greenpoint,Brooklyn,.1
11223,Coney Island - Sheepshead Bay,Brooklyn,.1
11224,Coney Island - Sheepshead Bay,Brooklyn,.1
11225,East Flatbush - Flatbush,Brooklyn,.1
11226,East Flatbush - Flatbush,Brooklyn,.1
11228,Bensonhurst - Bay Ridge,Brooklyn,.1
11229,Coney Island - Sheepshead Bay,Brooklyn,.1
11230,Borough Park,Brooklyn,.1
11231,Downtown - Heights - Slope,Brooklyn,.1
11232,Sunset Park,Brooklyn,.1
11233,Bedford Stuyvesant - Crown Heights,Brooklyn,.1
11234,Canarsie - Flatlands,Brooklyn,.1
11235,Coney Island - Sheepshead Bay,Brooklyn,.1
11236,Canarsie - Flatlands,Brooklyn,.1
11237,Williamsburg - Bushwick,Brooklyn,.1
11238,Bedford Stuyvesant - Crown Heights,Brooklyn,.1
11239,Canarsie - Flatlands,Brooklyn,.1
11354,Flushing - Clearview,Queens,.1
11355,Flushing - Clearview,Queens,.1
11356,Flushing - Clearview,Queens,.1
11357,Flushing - Clearview,Queens,.1
11358,Flushing - Clearview,Queens,.1
11360,Flushing - Clearview,Queens,.1
11361,Bayside - Little Neck,Queens,.1
11362,Bayside - Little Neck,Queens,.1
11363,Bayside - Little Neck,Queens,.1
11364,Bayside - Little Neck,Queens,.1
11365,Fresh Meadows,Queens,.1
11366,Fresh Meadows,Queens,.1
11367,Fresh Meadows,Queens,.1
11368,West Queens,Queens,.1
11369,West Queens,Queens,.1
11370,West Queens,Queens,.1
11372,West Queens,Queens,.1
11373,West Queens,Queens,.1
11374,Ridgewood - Forest Hills,Queens,.1
11375,Ridgewood - Forest Hills,Queens,.1
11377,West Queens,Queens,.1
11378,West Queens,Queens,.1
11379,Ridgewood - Forest Hills,Queens,.1
11385,Ridgewood - Forest Hills,Queens,.1
11411,Southeast Queens,Queens,.1
11412,Jamaica,Queens,.1
11413,Southeast Queens,Queens,.1
11414,Southwest Queens,Queens,.1
11415,Southwest Queens,Queens,.1
11416,Southwest Queens,Queens,.1
11417,Southwest Queens,Queens,.1
11418,Southwest Queens,Queens,.1
11419,Southwest Queens,Queens,.1
11420,Southwest Queens,Queens,.1
11421,Southwest Queens,Queens,.1
11422,Southeast Queens,Queens,.1
11423,Jamaica,Queens,.1
11426,Southeast Queens,Queens,.1
11427,Southeast Queens,Queens,.1
11428,Southeast Queens,Queens,.1
11429,Southeast Queens,Queens,.1
11432,Jamaica,Queens,.1
11433,Jamaica,Queens,.1
11434,Jamaica,Queens,.1
11435,Jamaica,Queens,.1
11436,Jamaica,Queens,.1
11691,Rockaway,Queens,.1
11692,Rockaway,Queens,.1
11693,Rockaway,Queens,.1
11694,Rockaway,Queens,.1
11697,Rockaway,Queens,.1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,