NTACODE,BoroName,NTANAME,VALUE
BK09,Brooklyn,Brooklyn Heights-Cobble Hill,.1
BK17,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,.1
BK19,Brooklyn,Brighton Beach,.1
BK21,Brooklyn,Seagate-Coney Island,.1
BK23,Brooklyn,West Brighton,.1
BK25,Brooklyn,Homecrest,.1
BK26,Brooklyn,Gravesend,.1
BK27,Brooklyn,Bath Beach,.1
BK28,Brooklyn,Bensonhurst West,.1
BK29,Brooklyn,Bensonhurst East,.1
BK30,Brooklyn,Dyker Heights,.1
BK31,Brooklyn,Bay Ridge,.1
BK32,Brooklyn,Sunset Park West,.1
BK33,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,.1
BK34,Brooklyn,Sunset Park East,.1
BK35,Brooklyn,Stuyvesant Heights,.1
BK37,Brooklyn,Park Slope-Gowanus,.1
BK38,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,.1
BK40,Brooklyn,Windsor Terrace,.1
BK41,Brooklyn,Kensington-Ocean Parkway,.1
BK42,Brooklyn,Flatbush,.1
BK43,Brooklyn,Midwood,.1
BK44,Brooklyn,Madison,.1
BK45,Brooklyn,Georgetown-Marine Park-Bergen Beach-Mill Basin,.1
BK46,Brooklyn,Ocean Parkway South,.1
BK50,Brooklyn,Canarsie,.1
BK58,Brooklyn,Flatlands,.1
BK60,Brooklyn,Prospect Lefferts Gardens-Wingate,.1
BK61,Brooklyn,Crown Heights North,.1
BK63,Brooklyn,Crown Heights South,.1
BK64,Brooklyn,Prospect Heights,.1
BK68,Brooklyn,Fort Greene,.1
BK69,Brooklyn,Clinton Hill,.1
BK72,Brooklyn,Williamsburg,-.5
BK73,Brooklyn,North Side-South Side,-.5
BK75,Brooklyn,Bedford,.1
BK76,Brooklyn,Greenpoint,-.5
BK77,Brooklyn,Bushwick North,.1
BK78,Brooklyn,Bushwick South,.1
BK79,Brooklyn,Ocean Hill,.1
BK81,Brooklyn,Brownsville,.1
BK82,Brooklyn,East New York,.1
BK83,Brooklyn,Cypress Hills-City Line,.1
BK85,Brooklyn,East New York (Pennsylvania Ave),.1
BK88,Brooklyn,Borough Park,.1
BK90,Brooklyn,East Williamsburg,-.5
BK91,Brooklyn,East Flatbush-Farragut,.1
BK93,Brooklyn,Starrett City,.1
BK95,Brooklyn,Erasmus,.1
BK96,Brooklyn,Rugby-Remsen Village,.1
BK99,Brooklyn,park-cemetery-etc-Brooklyn,0
BX01,Bronx,Claremont-Bathgate,.1
BX03,Bronx,Eastchester-Edenwald-Baychester,.1
BX05,Bronx,Bedford Park-Fordham North,.1
BX06,Bronx,Belmont,.1
BX07,Bronx,Bronxdale,.1
BX08,Bronx,West Farms-Bronx River,.1
BX09,Bronx,Soundview-Castle Hill-Clason Point-Harding Park,.1
BX10,Bronx,Pelham Bay-Country Club-City Island,.1
BX13,Bronx,Co-op City,.1
BX14,Bronx,East Concourse-Concourse Village,.1
BX17,Bronx,East Tremont,.1
BX22,Bronx,North Riverdale-Fieldston-Riverdale,.1
BX26,Bronx,Highbridge,.1
BX27,Bronx,Hunts Point,.6
BX28,Bronx,Van Cortlandt Village,.1
BX29,Bronx,Spuyten Duyvil-Kingsbridge,.1
BX30,Bronx,Kingsbridge Heights,.1
BX31,Bronx,Allerton-Pelham Gardens,.1
BX33,Bronx,Longwood,.6
BX34,Bronx,Melrose South-Mott Haven North,.6
BX35,Bronx,Morrisania-Melrose,.1
BX36,Bronx,University Heights-Morris Heights,.1
BX37,Bronx,Van Nest-Morris Park-Westchester Square,.1
BX39,Bronx,Mott Haven-Port Morris,.6
BX40,Bronx,Fordham South,.1
BX41,Bronx,Mount Hope,.1
BX43,Bronx,Norwood,.1
BX44,Bronx,Williamsbridge-Olinville,.1
BX46,Bronx,Parkchester,.1
BX49,Bronx,Pelham Parkway,.1
BX52,Bronx,Schuylerville-Throgs Neck-Edgewater Park,.1
BX55,Bronx,Soundview-Bruckner,.1
BX59,Bronx,Westchester-Unionport,.1
BX62,Bronx,Woodlawn-Wakefield,.1
BX63,Bronx,West Concourse,.1
BX75,Bronx,Crotona Park East,.1
BX98,Bronx,Rikers Island,.1
BX99,Bronx,park-cemetery-etc-Bronx,0
MN01,Manhattan,Marble Hill-Inwood,.1
MN03,Manhattan,Central Harlem North-Polo Grounds,.1
MN04,Manhattan,Hamilton Heights,.1
MN06,Manhattan,Manhattanville,.1
MN09,Manhattan,Morningside Heights,.1
MN11,Manhattan,Central Harlem South,.1
MN12,Manhattan,Upper West Side,.1
MN13,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,.1
MN14,Manhattan,Lincoln Square,.1
MN15,Manhattan,Clinton,.1
MN17,Manhattan,Midtown-Midtown South,.1
MN19,Manhattan,Turtle Bay-East Midtown,.1
MN20,Manhattan,Murray Hill-Kips Bay,.1
MN21,Manhattan,Gramercy,.1
MN22,Manhattan,East Village,.1
MN23,Manhattan,West Village,.1
MN24,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,.1
MN25,Manhattan,Battery Park City-Lower Manhattan,.1
MN27,Manhattan,Chinatown,.1
MN28,Manhattan,Lower East Side,.1
MN31,Manhattan,Lenox Hill-Roosevelt Island,.1
MN32,Manhattan,Yorkville,.1
MN33,Manhattan,East Harlem South,.1
MN34,Manhattan,East Harlem North,.1
MN35,Manhattan,Washington Heights North,.1
MN36,Manhattan,Washington Heights South,.1
MN40,Manhattan,Upper East Side-Carnegie Hill,.1
MN50,Manhattan,Stuyvesant Town-Cooper Village,.1
MN99,Manhattan,park-cemetery-etc-Manhattan,0
QN01,Queens,South Jamaica,.1
QN02,Queens,Springfield Gardens North,.1
QN03,Queens,Springfield Gardens South-Brookville,.1
QN05,Queens,Rosedale,.1
QN06,Queens,Jamaica Estates-Holliswood,.1
QN07,Queens,Hollis,.1
QN08,Queens,St. Albans,.1
QN10,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,.1
QN12,Queens,Hammels-Arverne-Edgemere,.1
QN15,Queens,Far Rockaway-Bayswater,.1
QN17,Queens,Forest Hills,.1
QN18,Queens,Rego Park,.1
QN19,Queens,Glendale,.1
QN20,Queens,Ridgewood,.1
QN21,Queens,Middle Village,.1
QN22,Queens,Flushing,.1
QN23,Queens,College Point,.1
QN25,Queens,Corona,.1
QN26,Queens,North Corona,.1
QN27,Queens,East Elmhurst,.1
QN28,Queens,Jackson Heights,.1
QN29,Queens,Elmhurst,.1
QN30,Queens,Maspeth,.1
QN31,Queens,Hunters Point-Sunnyside-West Maspeth,.1
QN33,Queens,Cambria Heights,.1
QN34,Queens,Queens Village,.1
QN35,Queens,Briarwood-Jamaica Hills,.1
QN37,Queens,Kew Gardens Hills,.1
QN38,Queens,Pomonok-Flushing Heights-Hillcrest,.1
QN41,Queens,Fresh Meadows-Utopia,.1
QN42,Queens,Oakland Gardens,.1
QN43,Queens,Bellerose,.1
QN44,Queens,Glen Oaks-Floral Park-New Hyde Park,.1
QN45,Queens,Douglas Manor-Douglaston-Little Neck,.1
QN46,Queens,Bayside-Bayside Hills,.1
QN47,Queens,Ft. Totten-Bay Terrace-Clearview,.1
QN48,Queens,Auburndale,.1
QN49,Queens,Whitestone,.1
QN50,Queens,Elmhurst-Maspeth,.1
QN51,Queens,Murray Hill,.1
QN52,Queens,East Flushing,.1
QN53,Queens,Woodhaven,.1
QN54,Queens,Richmond Hill,.1
QN55,Queens,South Ozone Park,.1
QN56,Queens,Ozone Park,.1
QN57,Queens,Lindenwood-Howard Beach,.1
QN60,Queens,Kew Gardens,.1
QN61,Queens,Jamaica,.1
QN62,Queens,Queensboro Hill,.1
QN63,Queens,Woodside,.1
QN66,Queens,Laurelton,.1
QN68,Queens,Queensbridge-Ravenswood-Long Island City,.1
QN70,Queens,Astoria,.1
QN71,Queens,Old Astoria,.1
QN72,Queens,Steinway,.1
QN76,Queens,Baisley Park,.1
QN98,Queens,Airport,
QN99,Queens,park-cemetery-etc-Queens,
SI01,Staten Island,Annadale-Huguenot-Prince's Bay-Eltingville,.1
SI05,Staten Island,New Springville-Bloomfield-Travis,.1
SI07,Staten Island,Westerleigh,.1
SI08,Staten Island,Grymes Hill-Clifton-Fox Hills,.1
SI11,Staten Island,Charleston-Richmond Valley-Tottenville,.1
SI12,Staten Island,Mariner's Harbor-Arlington-Port Ivory-Graniteville,.1
SI14,Staten Island,Grasmere-Arrochar-Ft. Wadsworth,.1
SI22,Staten Island,West New Brighton-New Brighton-St. George,.1
SI24,Staten Island,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,.1
SI25,Staten Island,Oakwood-Oakwood Beach,.1
SI28,Staten Island,Port Richmond,.1
SI32,Staten Island,Rossville-Woodrow,.1
SI35,Staten Island,New Brighton-Silver Lake,.1
SI36,Staten Island,Old Town-Dongan Hills-South Beach,.1
SI37,Staten Island,Stapleton-Rosebank,.1
SI45,Staten Island,New Dorp-Midland Beach,.1
SI48,Staten Island,Arden Heights,.1
SI54,Staten Island,Great Kills,.1
SI99,Staten Island,park-cemetery-etc-Staten Island,0
,,,
,,,
,,,
,,,
,,,