NTACode,GEOCODE,BoroCode,BOROUGH,CountyFIPS,GEONAME,Avg_annavg_PM25,Avg_annavg_NO2,tertile_buildingemissions,tertile_buildingdensity,tertile_trafficdensity,tertile_industrial
BX01,501,2,Bronx,5,Claremont-Bathgate,8.195789937,21.60143653,3,3,3,3
BX03,503,2,Bronx,5,Eastchester-Edenwald-Baychester,7.468834832,18.43537872,2,1,2,2
BX05,505,2,Bronx,5,Bedford Park-Fordham North,7.843937589,21.66111421,3,3,2,1
BX06,506,2,Bronx,5,Belmont,7.564393832,20.13360704,3,2,2,2
BX07,507,2,Bronx,5,Bronxdale,7.283234445,19.5516704,2,2,1,1
BX08,508,2,Bronx,5,West Farms-Bronx River,7.982665218,21.15791235,2,2,3,2
BX09,509,2,Bronx,5,Soundview-Castle Hill-Clason Point-Harding Park,7.309340652,18.61635723,2,1,2,2
BX10,510,2,Bronx,5,Pelham Bay-Country Club-City Island,7.244055946,17.74609107,1,1,2,2
BX13,513,2,Bronx,5,Co-op City,8.09895427,19.28953564,2,2,3,2
BX14,514,2,Bronx,5,East Concourse-Concourse Village,8.086189171,22.37395496,3,3,2,3
BX17,517,2,Bronx,5,East Tremont,8.046749507,21.16078033,3,2,3,3
BX22,522,2,Bronx,5,North Riverdale-Fieldston-Riverdale,7.117935821,15.85101692,2,1,1,1
BX26,526,2,Bronx,5,Highbridge,8.270216828,21.65598573,3,3,3,2
BX27,527,2,Bronx,5,Hunts Point,8.538703999,20.09868285,2,2,2,3
BX28,528,2,Bronx,5,Van Cortlandt Village,7.762746951,19.67515811,3,3,3,2
BX29,529,2,Bronx,5,Spuyten Duyvil-Kingsbridge,7.666226034,19.10068501,3,2,3,1
BX30,530,2,Bronx,5,Kingsbridge Heights,7.996982079,21.07831631,3,3,3,2
BX31,531,2,Bronx,5,Allerton-Pelham Gardens,7.203823801,18.82948991,2,2,1,2
BX33,533,2,Bronx,5,Longwood,8.32051661,21.69515995,3,3,2,3
BX34,534,2,Bronx,5,Melrose South-Mott Haven North,7.959793167,21.30519466,3,3,2,3
BX35,535,2,Bronx,5,Morrisania-Melrose,7.760051427,21.27795831,3,3,2,3
BX36,536,2,Bronx,5,University Heights-Morris Heights,8.418196493,21.82088901,3,3,3,2
BX37,537,2,Bronx,5,Van Nest-Morris Park-Westchester Square,7.557151025,19.27027484,2,2,1,3
BX39,539,2,Bronx,5,Mott Haven-Port Morris,8.759178979,21.15896103,2,2,3,3
BX40,540,2,Bronx,5,Fordham South,7.897069828,22.46536952,3,3,2,2
BX41,541,2,Bronx,5,Mount Hope,8.652663537,23.03874664,3,3,3,3
BX43,543,2,Bronx,5,Norwood,7.553903347,19.93625921,3,3,2,1
BX44,544,2,Bronx,5,Williamsbridge-Olinville,7.225937173,19.45844496,2,2,1,1
BX46,546,2,Bronx,5,Parkchester,7.621075027,19.60882114,2,2,3,2
BX49,549,2,Bronx,5,Pelham Parkway,7.434850603,19.00840403,2,2,1,3
BX52,552,2,Bronx,5,Schuylerville-Throgs Neck-Edgewater Park,7.413787012,18.02761418,1,1,3,2
BX55,555,2,Bronx,5,Soundview-Bruckner,7.745654778,20.4968728,3,2,3,2
BX59,559,2,Bronx,5,Westchester-Unionport,8.18670502,20.81204676,2,2,3,3
BX62,562,2,Bronx,5,Woodlawn-Wakefield,7.194145461,18.68356766,1,1,1,2
BX63,563,2,Bronx,5,West Concourse,8.407562392,22.17064602,3,3,3,3
BX75,575,2,Bronx,5,Crotona Park East,8.013254933,21.30374415,2,2,3,3
BX98,598,2,Bronx,5,Rikers Island,6.754950647,18.08876011,1,1,1,1
BX99,599,2,Bronx,5,Open Space - Bronx,7.171511649,14.48802251,1,1,2,1
BK09,4709,3,Brooklyn,47,Brooklyn Heights-Cobble Hill,8.159925978,22.43931682,3,3,3,2
BK17,4717,3,Brooklyn,47,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,6.701257899,15.74486353,2,2,1,1
BK19,4719,3,Brooklyn,47,Brighton Beach,6.922784411,16.46097272,2,2,2,1
BK21,4721,3,Brooklyn,47,Seagate-Coney Island,6.661466833,14.25057065,1,1,1,2
BK23,4723,3,Brooklyn,47,West Brighton,6.949573811,15.49428007,2,2,2,2
BK25,4725,3,Brooklyn,47,Homecrest,7.124497486,17.73207528,2,2,2,1
BK26,4726,3,Brooklyn,47,Gravesend,6.814494411,15.51744095,2,2,1,2
BK27,4727,3,Brooklyn,47,Bath Beach,6.96873595,17.76576062,2,2,2,1
BK28,4728,3,Brooklyn,47,Bensonhurst West,7.059982819,18.67982466,2,2,1,2
BK29,4729,3,Brooklyn,47,Bensonhurst East,6.948016391,17.99482572,2,2,1,1
BK30,4730,3,Brooklyn,47,Dyker Heights,7.342519996,18.89246935,2,2,2,2
BK31,4731,3,Brooklyn,47,Bay Ridge,7.258177617,18.71939346,2,2,3,1
BK32,4732,3,Brooklyn,47,Sunset Park West,8.827574008,20.61795007,2,2,3,3
BK33,4733,3,Brooklyn,47,Carroll Gardens-Columbia Street-Red Hook,8.52752336,20.53932178,2,2,3,3
BK34,4734,3,Brooklyn,47,Sunset Park East,7.518813449,19.79256142,2,3,1,3
BK35,4735,3,Brooklyn,47,Stuyvesant Heights,7.364630863,20.32539985,3,3,1,2
BK37,4737,3,Brooklyn,47,Park Slope-Gowanus,8.334862434,21.18743766,2,3,3,3
BK38,4738,3,Brooklyn,47,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8.800624352,23.0504585,3,3,3,3
BK40,4740,3,Brooklyn,47,Windsor Terrace,7.649527104,20.03891177,2,2,3,2
BK41,4741,3,Brooklyn,47,Kensington-Ocean Parkway,7.5026195,19.51615152,3,3,2,2
BK42,4742,3,Brooklyn,47,Flatbush,7.332201838,18.60147762,3,3,2,1
BK43,4743,3,Brooklyn,47,Midwood,7.067428936,17.79676536,2,2,2,1
BK44,4744,3,Brooklyn,47,Madison,6.957332946,17.44059602,2,2,2,1
BK45,4745,3,Brooklyn,47,Georgetown-Marine Park-Bergen Beach-Mill Basin,6.717037463,15.42454763,1,1,1,2
BK46,4746,3,Brooklyn,47,Ocean Parkway South,7.09052891,17.63703883,2,2,2,2
BK50,4750,3,Brooklyn,47,Canarsie,7.123454201,16.66763016,1,2,1,3
BK58,4758,3,Brooklyn,47,Flatlands,7.305549762,17.9836411,2,2,2,3
BK60,4760,3,Brooklyn,47,Prospect Lefferts Gardens-Wingate,7.447606358,20.02275118,3,3,2,2
BK61,4761,3,Brooklyn,47,Crown Heights North,7.468992879,20.31025941,3,3,2,2
BK63,4763,3,Brooklyn,47,Crown Heights South,7.381149845,20.48849215,3,3,2,2
BK64,4764,3,Brooklyn,47,Prospect Heights,7.813974793,21.31149322,3,3,2,3
BK68,4768,3,Brooklyn,47,Fort Greene,8.098453347,21.20986919,3,3,3,3
BK69,4769,3,Brooklyn,47,Clinton Hill,7.994177429,21.05476858,3,3,2,3
BK72,4772,3,Brooklyn,47,Williamsburg,8.411429827,22.10291475,3,3,3,3
BK73,4773,3,Brooklyn,47,North Side-South Side,8.639974126,21.85341049,2,3,3,3
BK75,4775,3,Brooklyn,47,Bedford,7.895009893,20.98793416,3,3,2,3
BK76,4776,3,Brooklyn,47,Greenpoint,8.989979045,21.13143829,2,2,1,3
BK77,4777,3,Brooklyn,47,Bushwick North,8.212940935,20.456783,2,2,1,3
BK78,4778,3,Brooklyn,47,Bushwick South,8.100162083,20.41654224,2,3,1,3
BK79,4779,3,Brooklyn,47,Ocean Hill,7.433675375,19.83438174,2,2,2,3
BK81,4781,3,Brooklyn,47,Brownsville,7.630535265,19.073726,2,3,2,3
BK82,4782,3,Brooklyn,47,East New York,7.562841697,16.97504577,1,1,3,3
BK83,4783,3,Brooklyn,47,Cypress Hills-City Line,7.047710962,18.69253231,1,1,1,2
BK85,4785,3,Brooklyn,47,East New York (Pennsylvania Ave),7.804142796,19.14543409,2,2,2,3
BK88,4788,3,Brooklyn,47,Borough Park,7.273638625,19.33318459,2,3,1,2
BK90,4790,3,Brooklyn,47,East Williamsburg,9.509454776,20.87081834,2,2,2,3
BK91,4791,3,Brooklyn,47,East Flatbush-Farragut,7.335749667,18.38333719,2,2,2,3
BK93,4793,3,Brooklyn,47,Starrett City,6.965474138,15.82733505,2,2,1,2
BK95,4795,3,Brooklyn,47,Erasmus,7.398307306,19.96732596,3,3,2,1
BK96,4796,3,Brooklyn,47,Rugby-Remsen Village,7.779449469,19.6884511,2,2,3,3
BK99,4799,3,Brooklyn,47,Open Space - Brooklyn,6.693005049,12.2694076,1,1,1,2
MN01,6101,1,Manhattan,61,Marble Hill-Inwood,7.445619807,20.10796113,3,2,1,1
MN03,6103,1,Manhattan,61,Central Harlem North-Polo Grounds,7.724790254,22.3473142,3,3,2,1
MN04,6104,1,Manhattan,61,Hamilton Heights,7.840745684,22.05441353,3,3,3,1
MN06,6106,1,Manhattan,61,Manhattanville,7.901074622,22.67016535,3,3,2,2
MN09,6109,1,Manhattan,61,Morningside Heights,8.17197324,22.50089872,3,3,3,1
MN11,6111,1,Manhattan,61,Central Harlem South,8.000901668,24.34716454,3,3,3,1
MN12,6112,1,Manhattan,61,Upper West Side,8.281974625,23.37947468,3,3,3,1
MN13,6113,1,Manhattan,61,Hudson Yards-Chelsea-Flatiron-Union Square,9.649355876,27.29772939,3,3,3,3
MN14,6114,1,Manhattan,61,Lincoln Square,8.506386973,24.59677002,3,3,3,2
MN15,6115,1,Manhattan,61,Clinton,9.21196198,27.35432269,3,3,3,3
MN17,6117,1,Manhattan,61,Midtown-Midtown South,11.18615681,32.75438694,3,3,3,3
MN19,6119,1,Manhattan,61,Turtle Bay-East Midtown,10.36757312,30.28719819,3,3,3,1
MN20,6120,1,Manhattan,61,Murray Hill-Kips Bay,10.12752664,29.81194177,3,3,3,2
MN21,6121,1,Manhattan,61,Gramercy,9.798348085,29.194677,3,3,3,3
MN22,6122,1,Manhattan,61,East Village,8.851912228,25.99896661,3,3,3,2
MN23,6123,1,Manhattan,61,West Village,8.90116486,25.40664306,3,3,3,3
MN24,6124,1,Manhattan,61,SoHo-TriBeCa-Civic Center-Little Italy,9.214742632,26.56417675,3,3,3,3
MN25,6125,1,Manhattan,61,Battery Park City-Lower Manhattan,8.835580029,25.35897523,3,3,3,2
MN27,6127,1,Manhattan,61,Chinatown,9.118268414,25.68186325,3,3,3,3
MN28,6128,1,Manhattan,61,Lower East Side,7.778596264,21.61784804,3,3,3,2
MN31,6131,1,Manhattan,61,Lenox Hill-Roosevelt Island,8.781711388,25.01359349,3,3,3,1
MN32,6132,1,Manhattan,61,Yorkville,8.773954382,24.91950194,3,3,3,1
MN33,6133,1,Manhattan,61,East Harlem South,8.200297574,22.91581433,3,3,3,1
MN34,6134,1,Manhattan,61,East Harlem North,8.039899602,22.3386084,3,3,3,2
MN35,6135,1,Manhattan,61,Washington Heights North,7.637295843,20.13748141,3,3,2,1
MN36,6136,1,Manhattan,61,Washington Heights South,8.1972004,22.95165305,3,3,3,1
MN40,6140,1,Manhattan,61,Upper East Side-Carnegie Hill,9.024608053,26.66219955,3,3,3,1
MN50,6150,1,Manhattan,61,Stuyvesant Town-Cooper Village,8.188608725,22.94270968,3,3,3,1
MN99,6199,1,Manhattan,61,Open Space - Manhattan,7.598731285,18.17258258,3,3,2,1
QN01,8101,4,Queens,81,South Jamaica,7.161362273,17.97543764,1,1,2,3
QN02,8102,4,Queens,81,Springfield Gardens North,7.074099734,16.94445939,1,1,2,3
QN03,8103,4,Queens,81,Springfield Gardens South-Brookville,7.273713227,16.70789646,1,1,3,3
QN05,8105,4,Queens,81,Rosedale,6.649018033,14.29568237,1,1,1,2
QN06,8106,4,Queens,81,Jamaica Estates-Holliswood,6.942751824,16.37034933,1,1,2,1
QN07,8107,4,Queens,81,Hollis,6.857411503,17.75732272,1,1,1,2
QN08,8108,4,Queens,81,St. Albans,6.882362016,17.06504217,1,1,1,3
QN10,8110,4,Queens,81,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,6.263207264,11.68386712,1,1,1,1
QN12,8112,4,Queens,81,Hammels-Arverne-Edgemere,6.339497985,12.35433011,1,1,1,2
QN15,8115,4,Queens,81,Far Rockaway-Bayswater,6.36441099,13.67922625,1,1,1,1
QN17,8117,4,Queens,81,Forest Hills,7.200704727,19.07082473,3,2,2,1
QN18,8118,4,Queens,81,Rego Park,7.667033365,20.87691238,3,3,3,1
QN19,8119,4,Queens,81,Glendale,7.604221802,19.76446481,1,1,3,3
QN20,8120,4,Queens,81,Ridgewood,7.716079558,19.67153079,2,2,1,3
QN21,8121,4,Queens,81,Middle Village,7.169430111,18.55021193,1,2,2,2
QN22,8122,4,Queens,81,Flushing,7.99257357,20.68695913,3,2,3,3
QN23,8123,4,Queens,81,College Point,7.948542994,18.64011312,1,1,1,3
QN25,8125,4,Queens,81,Corona,7.432732288,21.02250997,2,2,2,2
QN26,8126,4,Queens,81,North Corona,7.13293326,20.42612774,2,2,1,2
QN27,8127,4,Queens,81,East Elmhurst,6.994483146,19.80676131,1,1,2,1
QN28,8128,4,Queens,81,Jackson Heights,7.266579827,20.89791091,2,2,1,2
QN29,8129,4,Queens,81,Elmhurst,7.650741007,21.6390259,3,3,3,2
QN30,8130,4,Queens,81,Maspeth,8.766608086,20.87713129,1,2,3,3
QN31,8131,4,Queens,81,Hunters Point-Sunnyside-West Maspeth,9.424565971,21.00155399,2,2,2,3
QN33,8133,4,Queens,81,Cambria Heights,6.58098867,17.01506447,1,1,1,1
QN34,8134,4,Queens,81,Queens Village,6.813445972,17.7226771,1,1,1,2
QN35,8135,4,Queens,81,Briarwood-Jamaica Hills,7.200514866,18.91209884,2,2,2,2
QN37,8137,4,Queens,81,Kew Gardens Hills,7.007892483,18.61449906,2,2,2,1
QN38,8138,4,Queens,81,Pomonok-Flushing Heights-Hillcrest,6.992574675,18.67434476,2,2,2,1
QN41,8141,4,Queens,81,Fresh Meadows-Utopia,6.983575695,17.64054086,1,1,2,1
QN42,8142,4,Queens,81,Oakland Gardens,7.023640283,17.15537092,1,1,2,1
QN43,8143,4,Queens,81,Bellerose,6.755523007,16.85461844,1,1,1,1
QN44,8144,4,Queens,81,Glen Oaks-Floral Park-New Hyde Park,6.659865031,16.83189358,1,1,1,1
QN45,8145,4,Queens,81,Douglas Manor-Douglaston-Little Neck,6.936983367,15.99784088,1,1,2,1
QN46,8146,4,Queens,81,Bayside-Bayside Hills,7.101907822,18.14240024,1,1,3,1
QN47,8147,4,Queens,81,Ft. Totten-Bay Terrace-Clearview,6.938167762,17.56244385,1,1,2,1
QN48,8148,4,Queens,81,Auburndale,6.953652884,18.52498435,1,1,2,1
QN49,8149,4,Queens,81,Whitestone,7.144048924,18.21001059,1,1,1,2
QN50,8150,4,Queens,81,Elmhurst-Maspeth,7.65385666,20.85893501,2,2,3,3
QN51,8151,4,Queens,81,Murray Hill,6.942366595,18.46851414,2,2,1,2
QN52,8152,4,Queens,81,East Flushing,6.878789762,18.31655721,2,2,1,1
QN53,8153,4,Queens,81,Woodhaven,7.12521929,19.08512325,2,2,2,2
QN54,8154,4,Queens,81,Richmond Hill,7.138348753,18.98950994,2,2,2,3
QN55,8155,4,Queens,81,South Ozone Park,6.812208848,18.15508204,1,1,2,1
QN56,8156,4,Queens,81,Ozone Park,7.05056583,18.46749842,1,1,2,2
QN57,8157,4,Queens,81,Lindenwood-Howard Beach,6.652381666,16.05387626,1,1,1,1
QN60,8160,4,Queens,81,Kew Gardens,7.319773123,18.02441069,2,2,3,2
QN61,8161,4,Queens,81,Jamaica,7.640546853,20.04232227,2,2,3,3
QN62,8162,4,Queens,81,Queensboro Hill,7.380092507,19.09338655,1,1,3,1
QN63,8163,4,Queens,81,Woodside,7.895402227,21.0847249,2,2,2,3
QN66,8166,4,Queens,81,Laurelton,6.723259912,16.32519274,1,1,1,2
QN68,8168,4,Queens,81,Queensbridge-Ravenswood-Long Island City,8.734068537,20.98980819,2,2,2,3
QN70,8170,4,Queens,81,Astoria,7.795796102,21.56232092,2,3,1,3
QN71,8171,4,Queens,81,Old Astoria,7.667810561,20.69572813,2,2,1,3
QN72,8172,4,Queens,81,Steinway,7.459137497,20.05440774,1,1,1,3
QN76,8176,4,Queens,81,Baisley Park,6.872274464,17.13733595,1,1,2,2
QN98,8198,4,Queens,81,Airport,6.496782137,16.05314925,1,1,1,2
QN99,8199,4,Queens,81,Open Space - Queens,6.925433465,13.71877209,1,1,2,2
SI01,8501,5,Staten Island,85,Annadale-Huguenot-Prince's Bay-Eltingville,6.363688338,10.67336619,1,1,1,1
SI05,8505,5,Staten Island,85,New Springville-Bloomfield-Travis,7.145213458,13.35224123,1,1,1,3
SI07,8507,5,Staten Island,85,Westerleigh,6.815318433,15.47802279,1,1,2,1
SI08,8508,5,Staten Island,85,Grymes Hill-Clifton-Fox Hills,6.90233321,14.83743423,1,1,1,2
SI11,8511,5,Staten Island,85,Charleston-Richmond Valley-Tottenville,7.054566193,11.05186735,1,1,1,3
SI12,8512,5,Staten Island,85,Mariner's Harbor-Arlington-Port Ivory-Graniteville,7.410727226,16.64570415,1,1,1,3
SI14,8514,5,Staten Island,85,Grasmere-Arrochar-Ft. Wadsworth,7.11237796,15.77439145,1,1,3,1
SI22,8522,5,Staten Island,85,West New Brighton-New Brighton-St. George,6.965671563,17.15892867,1,1,1,2
SI24,8524,5,Staten Island,85,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,6.559930144,12.24840128,1,1,1,1
SI25,8525,5,Staten Island,85,Oakwood-Oakwood Beach,6.430815517,11.89280042,1,1,1,1
SI28,8528,5,Staten Island,85,Port Richmond,6.976340876,17.94670686,1,1,1,2
SI32,8532,5,Staten Island,85,Rossville-Woodrow,6.545760028,12.2152054,1,1,1,2
SI35,8535,5,Staten Island,85,New Brighton-Silver Lake,6.779361058,15.89078363,1,1,1,1
SI36,8536,5,Staten Island,85,Old Town-Dongan Hills-South Beach,6.555343585,12.80034797,1,1,1,1
SI37,8537,5,Staten Island,85,Stapleton-Rosebank,6.988575893,17.14467964,1,1,1,2
SI45,8545,5,Staten Island,85,New Dorp-Midland Beach,6.489067219,12.38745449,1,1,1,1
SI48,8548,5,Staten Island,85,Arden Heights,6.442744647,12.97470069,1,1,1,1
SI54,8554,5,Staten Island,85,Great Kills,6.434879654,12.61503839,1,1,1,1
SI99,8599,5,Staten Island,85,Open Space - Staten Island,6.310264883,9.211807325,1,1,1,1
